side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1
SHORT,2022-02-18 23:15:00+00:00,2022-02-18 23:30:00+00:00,2022-02-18 23:50:00+00:00,90.131969990002,90.168022777998,90.51735530320141,89.78264467679861,89.41528936359721,40.72647557305603,6.379242922784282,6.379242922784282,0.0,7.11339441761409,0.0,0.40644066402875734,STOP,True
LONG,2022-02-21 00:05:00+00:00,2022-02-21 00:10:00+00:00,2022-02-21 07:25:00+00:00,92.03840401000198,95.75287614790136,90.1535619410493,93.88643807895068,95.75287614790136,8.058573159472669,22.41293160895299,22.41293160895299,0.0,7.446258872910497,0.0,1.4755894667447926,TP2,True
SHORT,2022-02-22 00:50:00+00:00,2022-02-22 01:05:00+00:00,2022-02-22 01:35:00+00:00,83.71325399000202,83.74673929159802,84.69157778359276,82.76842219640726,81.8068444028145,15.933177194256892,7.260322571190303,7.260322571190303,0.0,7.527086193056421,0.0,0.4657693587589427,STOP,True
SHORT,2022-02-22 01:45:00+00:00,2022-02-22 01:50:00+00:00,2022-02-22 03:15:00+00:00,83.253345990002,81.01070739726157,84.39964628636922,82.14035369363079,81.01070739726157,13.642981394309437,22.89040489316015,22.89040489316015,0.0,7.592266595701128,0.0,1.4636788020321165,TP2,True
LONG,2022-02-22 20:55:00+00:00,2022-02-22 21:00:00+00:00,2022-02-22 22:15:00+00:00,85.61712001000198,84.92811146175747,84.96209630027758,86.2379037197224,86.8758074294448,24.608531390280522,-16.95548848764678,-16.95548848764678,0.0,0.0,0.0,-1.0518833715720168,STOP,False
LONG,2022-02-23 01:45:00+00:00,2022-02-23 01:50:00+00:00,2022-02-23 02:05:00+00:00,86.87737201000199,87.96760817581162,86.30619592709418,87.4138040929058,87.96760817581162,27.962830785446606,22.743124491416392,22.743124491416392,0.0,7.500079781062021,0.0,1.4239639030683897,TP2,True
LONG,2022-02-23 10:15:00+00:00,2022-02-23 10:20:00+00:00,2022-02-23 10:40:00+00:00,90.17803201000198,91.35313561582801,89.56343220708598,90.756567812914,91.35313561582801,26.43491458589588,23.178653992225502,23.178653992225502,0.0,7.6467722674309,0.0,1.4266514571089968,TP2,True
SHORT,2022-02-23 21:00:00+00:00,2022-02-23 21:10:00+00:00,2022-02-23 21:15:00+00:00,87.34252799000201,87.99598164896696,87.96079733003495,86.75920264996506,86.15840530993012,26.731063903671952,-17.467511515880314,-17.467511515880314,0.0,0.0,0.0,-1.0569077530678397,STOP,False
SHORT,2022-02-23 21:25:00+00:00,2022-02-23 21:30:00+00:00,2022-02-23 22:10:00+00:00,87.432509990002,85.6010293347785,88.37448531761076,86.52551466238926,85.6010293347785,17.135597204795978,23.462710698444873,23.462710698444873,0.0,7.770953300302007,0.0,1.4535815867852806,TP2,True
SHORT,2022-02-24 00:30:00+00:00,2022-02-24 00:35:00+00:00,2022-02-24 02:55:00+00:00,84.793037990002,82.63876730549454,85.89561633225274,83.72438364774727,82.63876730549454,14.862425565491378,23.950241656706236,23.950241656706236,0.0,7.9413978085000485,0.0,1.4615401478787946,TP2,True
