"ts","open","high","low","close","volume"
"1753279800000","190.8785","190.8799","189.9954","190.5754","614.79"
"1753280100000","190.5754","191.8791","190.5663","191.5766","677.42"
"1753280400000","191.5766","191.8796","191.4748","191.8778","708"
"1753280700000","191.8778","192.4043","191.7809","192.3994","604.25"
"1753281000000","192.3994","192.4036","191.4763","191.4771","736.21"
"1753281300000","191.4771","191.4793","190.0733","190.2782","676.08"
"1753281600000","190.2782","191.2799","190.2768","190.9353","561.56"
"1753281900000","190.9353","191.1604","190.2779","190.579","489.17"
"1753282200000","190.579","190.9887","190.274","190.988","412.39"
"1753282500000","190.988","191.5806","190.9861","191.5791","372.09"
"1753282800000","191.5791","191.901","191.1755","191.1778","545.86"
"1753283100000","191.1778","191.5773","190.5752","190.6756","399.9"
"1753283400000","190.6756","190.6756","189.9892","189.9894","380.96"
"1753283700000","189.9894","190.7813","189.9845","190.6728","770.42"
"1753284000000","190.6728","191.4046","190.6688","190.8399","394.56"
"1753284300000","190.8399","191.0607","190.4976","190.8777","290.04"
"1753284600000","190.8777","191.2804","190.7874","191.002","253.6"
"1753284900000","191.002","191.5791","190.891","191.4818","297.16"
"1753285200000","191.4818","191.9022","191.3023","191.9","180.76"
"1753285500000","191.9","191.9978","191.4304","191.5777","305.57"
"1753285800000","191.5777","192.1792","191.0008","192.1792","272.05"
"1753286100000","192.1792","192.9383","192.0778","192.7834","624.09"
"1753286400000","192.7834","192.9999","192.3778","192.408","562.52"
"1753286700000","192.408","192.7805","192.3877","192.3892","396.98"
"1753287000000","192.3892","192.3911","191.1754","191.2775","515.07"
"1753287300000","191.2775","191.88","190.8767","191.1778","336.96"
"1753287600000","191.1778","191.402","190.5701","190.8791","446.21"
"1753287900000","190.8791","191.0053","190.5763","191.0051","392.44"
"1753288200000","191.0051","191.2415","190.2733","190.2747","388.94"
"1753288500000","190.2747","190.6777","189.6441","189.8751","504.24"
"1753288800000","189.8751","190.3777","189.6222","190.3774","427.41"
"1753289100000","190.3774","190.3776","188.9969","189.5305","651.17"
"1753289400000","189.5305","189.9065","189.4817","189.5013","559.76"
"1753289700000","189.5013","189.5073","188.352","188.352","575.46"
"1753290000000","188.352","189.3093","188.3511","189.1781","562.48"
"1753290300000","189.1781","189.1792","186.825","187.3437","670.07"
"1753290600000","187.3437","187.8131","187.3034","187.4547","569.84"
"1753290900000","187.4547","187.979","186.2794","186.7784","635.14"
"1753291200000","186.7784","188.4","186.1748","188.2778","670.15"
"1753291500000","188.2778","188.522","187.2778","187.3792","485.25"
"1753291800000","187.3792","188.3961","186.9752","188.1756","510"
"1753292100000","188.1756","188.3881","187.5977","188.3852","414.18"
"1753292400000","188.3852","188.4032","188.1738","188.3843","229.53"
"1753292700000","188.3843","188.9336","187.989","188.6792","427.12"
"1753293000000","188.6792","189.0016","188.402","188.8401","393.85"
"1753293300000","188.8401","188.9237","188.8257","188.9165","211.22"
"1753293600000","188.9165","189.8574","188.4908","189.8574","365.54"
"1753293900000","189.8574","189.8596","188.9957","189.8566","289.85"
"1753294200000","189.8566","190.2329","189.279","189.2896","468.68"
