side,signal_ts,entry_ts,exit_ts,entry,exit,stop,tp1,tp2,qty,pnl_gross_usdt,pnl_net_usdt,fees_usdt,tp1_pnl_gross_usdt,tp1_fee_usdt,pnl_R,exit_reason,took_tp1,funding_cost_usdt,holding_hours,tp_fill_price,tp_bidask_half_spread_bps,fee_taker_rate_applied,fee_maker_rate_applied,fee_paid_usd,notional_usd,risk_per_trade,risk_usd
LONG,2017-09-19 10:00:00+00:00,2017-09-19 10:05:00+00:00,2017-09-19 11:05:00+00:00,3950.3799180100023,4015.7232973489436,3916.3225450950363,3982.857454924964,4016.1249098399276,0.03809612671972899,1.855712438608867,1.855712438608867,0.0,0.6110476088130525,0.0,1.430272246066276,TP2,True,0.0,1.0,4015.7232973489436,1.0,0.0,0.0,0.0,150.4941739475817,0.03,150.46408113135539
LONG,2017-09-24 01:25:00+00:00,2017-09-24 01:30:00+00:00,2017-09-24 04:20:00+00:00,3758.261502010002,3727.0517549197975,3727.797314382674,3787.2226856373263,3816.9353712646525,0.04005837709124208,-1.250211817861706,-1.250211817861706,0.0,0.0,0.0,-1.0244733085285873,STOP,False,0.0,2.8333333333333335,,1.0,0.0,0.0,0.0,150.54985645501452,0.03,150.51975250451363
LONG,2017-09-25 06:45:00+00:00,2017-09-25 07:00:00+00:00,2017-09-25 09:30:00+00:00,3774.754800010002,3747.5900484176736,3748.3397163609457,3799.660283659054,3825.3205673081084,0.03987340915463144,-1.0831512548248294,-1.0831512548248294,0.0,0.0,0.0,-1.0283802979097816,STOP,False,0.0,2.5,,1.0,0.0,0.0,0.0,150.51234259920778,0.03,150.48224614997778
LONG,2017-09-25 17:35:00+00:00,2017-09-25 17:40:00+00:00,2017-09-25 23:40:00+00:00,3910.782000010002,3909.99984361,3882.6022087484134,3937.3977912715864,3964.795582533173,0.03847819734320927,0.48944065168662565,0.48944065168662565,0.0,0.5044886358428892,0.0,0.4513854422536491,STOP,True,0.0,6.0,3937.004051492459,1.0,0.0,0.0,0.0,150.4798415626555,0.03,150.44975161233305
LONG,2017-10-01 07:15:00+00:00,2017-10-01 07:20:00+00:00,2017-10-01 12:40:00+00:00,4317.853398010002,4271.843843053245,4272.698382729791,4361.2816172902085,4405.573234570417,0.03485401514285071,-1.6036177251786237,-1.6036177251786237,0.0,0.0,0.0,-1.0189245795011448,STOP,False,0.0,5.333333333333333,,1.0,0.0,0.0,0.0,150.49452771885,0.03,150.46443483188364
LONG,2017-10-01 19:20:00+00:00,2017-10-01 19:25:00+00:00,2017-10-01 21:00:00+00:00,4318.303488010001,4317.439827312399,4296.086614864382,4338.793385155617,4360.146770301235,0.034839239526149736,0.33432356320459494,0.33432356320459494,0.0,0.3493682041611412,0.0,0.4319320046457969,STOP,True,0.0,1.5833333333333333,4338.359505817101,1.0,0.0,0.0,0.0,150.4464095653883,0.03,150.41632630012828
LONG,2017-10-06 03:30:00+00:00,2017-10-06 03:45:00+00:00,2017-10-06 05:50:00+00:00,4312.482324010002,4349.775457096123,4292.324760943031,4330.915239076969,4350.2104781439375,0.03488859315215059,0.964546734007477,0.964546734007477,0.0,0.3139942602021346,0.0,1.3715188796749573,TP2,True,0.0,2.0833333333333335,4349.775457096123,1.0,0.0,0.0,0.0,150.45644127822584,0.03,150.42635600702442
LONG,2017-10-13 01:35:00+00:00,2017-10-13 01:40:00+00:00,2017-10-13 02:05:00+00:00,5437.847352010002,5565.348453277279,5372.187478124171,5501.332521895829,5565.905043781658,0.027673705002385224,2.6350367510317136,2.6350367510317136,0.0,0.8708228190567836,0.0,1.4501713651783914,TP2,True,0.0,0.4166666666666667,5565.348453277279,1.0,0.0,0.0,0.0,150.48538346752645,0.03,150.45529240904463
LONG,2017-10-15 01:15:00+00:00,2017-10-15 01:20:00+00:00,2017-10-15 01:25:00+00:00,5873.174400010002,5839.508200548003,5840.676335815166,5903.323664204834,5934.647328399668,0.025635957682445375,-0.8630652647365713,-0.8630652647365713,0.0,0.0,0.0,-1.0359447645915068,STOP,False,0.0,0.08333333333333333,,1.0,0.0,0.0,0.0,150.56445038027792,0.03,150.5343435115756
LONG,2017-10-15 01:35:00+00:00,2017-10-15 01:45:00+00:00,2017-10-15 03:20:00+00:00,5861.161998010001,5859.989765610399,5825.144431253669,5894.835568766331,5929.681137522662,0.025684079930746756,0.4098133147088726,0.4098133147088726,0.0,0.42486717003326513,0.0,0.4430040348886115,STOP,True,0.0,1.5833333333333333,5894.246085209454,1.0,0.0,0.0,0.0,150.53855324394422,0.03,150.5084515536335
LONG,2017-10-16 18:30:00+00:00,2017-10-16 18:35:00+00:00,2017-10-16 20:45:00+00:00,5700.599892010002,5699.4597720316,5655.074603187364,5743.845396832636,5788.230793655272,0.026409650379651876,0.5484095989801626,0.5484095989801626,0.0,0.5634646839903925,0.0,0.4561311018404379,STOP,True,0.0,2.1666666666666665,5743.271012292952,1.0,0.0,0.0,0.0,150.5508501022654,0.03,150.52074595307477
LONG,2017-10-16 21:30:00+00:00,2017-10-16 21:35:00+00:00,2017-10-16 21:50:00+00:00,5703.160404010002,5713.664467833385,5695.912054303737,5708.127945716264,5714.235891422527,0.026400678749071413,0.1966955210525808,0.1966955210525808,0.0,0.05803831377214016,0.0,1.0278748500637351,TP2,True,0.0,0.25,5713.664467833385,1.0,0.0,0.0,0.0,150.56730568069239,0.03,150.5371982410442
LONG,2017-10-17 04:10:00+00:00,2017-10-17 04:25:00+00:00,2017-10-17 05:55:00+00:00,5651.130000010002,5594.453979366268,5595.573093985065,5704.426906034935,5758.8538120598705,0.026644796302019352,-1.5101210252613326,-1.5101210252613326,0.0,0.0,0.0,-1.0201435734793134,STOP,False,0.0,1.5,,1.0,0.0,0.0,0.0,150.57320772649712,0.03,150.54309910667578
LONG,2017-10-17 17:25:00+00:00,2017-10-17 17:35:00+00:00,2017-10-18 00:05:00+00:00,5621.1139980100015,5578.302664781421,5579.4185484911195,5660.56145152888,5701.13290304776,0.026779014815978348,-1.146445326819936,-1.146445326819936,0.0,0.0,0.0,-1.0267627216536632,STOP,False,0.0,6.5,,1.0,0.0,0.0,0.0,150.5278950350131,0.03,150.49779547591794
LONG,2017-10-19 03:40:00+00:00,2017-10-19 03:45:00+00:00,2017-10-19 03:50:00+00:00,5570.113800010002,5568.99977725,5563.009559366043,5574.990440653957,5580.9808812979145,0.02701802875127369,0.04329799648367418,0.04329799648367418,0.0,0.05834734596332401,0.0,0.22557786261178675,STOP,True,0.0,0.08333333333333333,5574.432941609892,1.0,0.0,0.0,0.0,150.49349479653657,0.03,150.46340211611334
LONG,2017-10-19 12:35:00+00:00,2017-10-19 12:40:00+00:00,2017-10-19 16:05:00+00:00,5671.534080010001,5613.441708911883,5614.564621836251,5726.235378183748,5782.070756357497,0.02653511234758439,-1.5414875936261212,-1.5414875936261212,0.0,0.0,0.0,-1.019710788207652,STOP,False,0.0,3.4166666666666665,,1.0,0.0,0.0,0.0,150.49479399621907,0.03,150.46470105600787
LONG,2017-10-20 00:05:00+00:00,2017-10-20 00:10:00+00:00,2017-10-20 01:55:00+00:00,5686.0269780100025,5659.419229477441,5660.551339745391,5709.22866027461,5733.5673205392195,0.026459343351926682,-0.7040235542447639,-0.7040235542447639,0.0,0.0,0.0,-1.044438936374836,STOP,False,0.0,1.75,,1.0,0.0,0.0,0.0,150.44854011948473,0.03,150.41845642819908
LONG,2017-10-20 03:20:00+00:00,2017-10-20 03:25:00+00:00,2017-10-20 06:30:00+00:00,5670.383850010002,5632.232752629956,5633.359424514859,5705.140575505141,5741.031151000282,0.026528612377529032,-1.0120956741726022,-1.0120956741726022,0.0,0.0,0.0,-1.0304305028325331,STOP,False,0.0,3.0833333333333335,,1.0,0.0,0.0,0.0,150.42741518871605,0.03,150.39733572157175
LONG,2017-10-20 21:45:00+00:00,2017-10-20 21:50:00+00:00,2017-10-20 22:50:00+00:00,5966.193000010002,5964.99976141,5935.3954943819435,5994.604505638056,6024.209011266113,0.025208210033712403,0.3355062335260491,0.3355062335260491,0.0,0.35054593815063667,0.0,0.43215848223171155,STOP,True,0.0,1.0,5994.005045187492,1.0,0.0,0.0,0.0,150.39704624591684,0.03,150.36697285134656
LONG,2017-10-21 05:55:00+00:00,2017-10-21 06:05:00+00:00,2017-10-21 14:20:00+00:00,6064.172592010002,6151.295536347967,6018.484636304645,6107.4353637153545,6151.910727420709,0.024802577955009487,1.6093769361063723,1.6093769361063723,0.0,0.5289401268002047,0.0,1.4202317711901038,TP2,True,0.0,8.25,6151.295536347967,1.0,0.0,0.0,0.0,150.40711344596002,0.03,150.37703803835234
